Agent 1,Agent 2,Agent 1 Score,Agent 2 Score
Rock Agent,Paper Agent,-99.0,99.0
Rock Agent,Scissors Agent,99.0,-99.0
Rock Agent,Random Agent,0.0,0.0
Rock Agent,Copy Opponent,0.0,0.0
Rock Agent,Counter Opponent,-97.0,97.0
Rock Agent,Cyclic Agent,0.0,0.0
Rock Agent,Mirror Agent,0.0,0.0
Rock Agent,Anti Paper,50.0,-50.0
Rock Agent,Anti Scissors,-61.0,61.0
Rock Agent,Anti Rock,0.0,0.0
Rock Agent,Rock Paper,-49.0,49.0
Rock Agent,Scissors Paper,0.0,0.0
Rock Agent,Most Winning,-98.0,98.0
Rock Agent,Anti Cyclic,-99.0,99.0
Paper Agent,Rock Agent,99.0,-99.0
Paper Agent,Scissors Agent,-99.0,99.0
Paper Agent,Random Agent,0.0,0.0
Paper Agent,Copy Opponent,0.0,0.0
Paper Agent,Counter Opponent,-97.0,97.0
Paper Agent,Cyclic Agent,0.0,0.0
Paper Agent,Mirror Agent,0.0,0.0
Paper Agent,Anti Paper,0.0,0.0
Paper Agent,Anti Scissors,55.0,-55.0
Paper Agent,Anti Rock,-50.0,50.0
Paper Agent,Rock Paper,50.0,-50.0
Paper Agent,Scissors Paper,-49.0,49.0
Paper Agent,Most Winning,-97.0,97.0
Paper Agent,Anti Cyclic,-97.0,97.0
Scissors Agent,Rock Agent,-99.0,99.0
Scissors Agent,Paper Agent,99.0,-99.0
Scissors Agent,Random Agent,0.0,0.0
Scissors Agent,Copy Opponent,0.0,0.0
Scissors Agent,Counter Opponent,-98.0,98.0
Scissors Agent,Cyclic Agent,0.0,0.0
Scissors Agent,Mirror Agent,0.0,0.0
Scissors Agent,Anti Paper,-55.0,55.0
Scissors Agent,Anti Scissors,0.0,0.0
Scissors Agent,Anti Rock,57.0,-57.0
Scissors Agent,Rock Paper,0.0,0.0
Scissors Agent,Scissors Paper,50.0,-50.0
Scissors Agent,Most Winning,-99.0,99.0
Scissors Agent,Anti Cyclic,-98.0,98.0
Random Agent,Rock Agent,0.0,0.0
Random Agent,Paper Agent,0.0,0.0
Random Agent,Scissors Agent,0.0,0.0
Random Agent,Copy Opponent,0.0,0.0
Random Agent,Counter Opponent,0.0,0.0
Random Agent,Cyclic Agent,0.0,0.0
Random Agent,Mirror Agent,0.0,0.0
Random Agent,Anti Paper,0.0,0.0
Random Agent,Anti Scissors,0.0,0.0
Random Agent,Anti Rock,0.0,0.0
Random Agent,Rock Paper,0.0,0.0
Random Agent,Scissors Paper,0.0,0.0
Random Agent,Most Winning,0.0,0.0
Random Agent,Anti Cyclic,0.0,0.0
Copy Opponent,Rock Agent,0.0,0.0
Copy Opponent,Paper Agent,0.0,0.0
Copy Opponent,Scissors Agent,0.0,0.0
Copy Opponent,Random Agent,0.0,0.0
Copy Opponent,Counter Opponent,-50.0,50.0
Copy Opponent,Cyclic Agent,-98.0,98.0
Copy Opponent,Mirror Agent,0.0,0.0
Copy Opponent,Anti Paper,0.0,0.0
Copy Opponent,Anti Scissors,0.0,0.0
Copy Opponent,Anti Rock,0.0,0.0
Copy Opponent,Rock Paper,0.0,0.0
Copy Opponent,Scissors Paper,0.0,0.0
Copy Opponent,Most Winning,-49.0,49.0
Copy Opponent,Anti Cyclic,-50.0,50.0
Counter Opponent,Rock Agent,99.0,-99.0
Counter Opponent,Paper Agent,98.0,-98.0
Counter Opponent,Scissors Agent,98.0,-98.0
Counter Opponent,Random Agent,0.0,0.0
Counter Opponent,Copy Opponent,-99.0,99.0
Counter Opponent,Cyclic Agent,0.0,0.0
Counter Opponent,Mirror Agent,48.0,-48.0
Counter Opponent,Anti Paper,0.0,0.0
Counter Opponent,Anti Scissors,32.0,-32.0
Counter Opponent,Anti Rock,20.0,-20.0
Counter Opponent,Rock Paper,-48.0,48.0
Counter Opponent,Scissors Paper,-48.0,48.0
Counter Opponent,Most Winning,0.0,0.0
Counter Opponent,Anti Cyclic,0.0,0.0
Cyclic Agent,Rock Agent,0.0,0.0
Cyclic Agent,Paper Agent,0.0,0.0
Cyclic Agent,Scissors Agent,0.0,0.0
Cyclic Agent,Random Agent,0.0,0.0
Cyclic Agent,Copy Opponent,98.0,-98.0
Cyclic Agent,Counter Opponent,0.0,0.0
Cyclic Agent,Mirror Agent,97.0,-97.0
Cyclic Agent,Anti Paper,0.0,0.0
Cyclic Agent,Anti Scissors,0.0,0.0
Cyclic Agent,Anti Rock,0.0,0.0
Cyclic Agent,Rock Paper,0.0,0.0
Cyclic Agent,Scissors Paper,0.0,0.0
Cyclic Agent,Most Winning,0.0,0.0
Cyclic Agent,Anti Cyclic,0.0,0.0
Mirror Agent,Rock Agent,0.0,0.0
Mirror Agent,Paper Agent,0.0,0.0
Mirror Agent,Scissors Agent,0.0,0.0
Mirror Agent,Random Agent,0.0,0.0
Mirror Agent,Copy Opponent,0.0,0.0
Mirror Agent,Counter Opponent,99.0,-99.0
Mirror Agent,Cyclic Agent,-98.0,98.0
Mirror Agent,Anti Paper,0.0,0.0
Mirror Agent,Anti Scissors,0.0,0.0
Mirror Agent,Anti Rock,0.0,0.0
Mirror Agent,Rock Paper,0.0,0.0
Mirror Agent,Scissors Paper,0.0,0.0
Mirror Agent,Most Winning,-48.0,48.0
Mirror Agent,Anti Cyclic,-50.0,50.0
Anti Paper,Rock Agent,-46.0,46.0
Anti Paper,Paper Agent,0.0,0.0
Anti Paper,Scissors Agent,45.0,-45.0
Anti Paper,Random Agent,0.0,0.0
Anti Paper,Copy Opponent,0.0,0.0
Anti Paper,Counter Opponent,-26.0,26.0
Anti Paper,Cyclic Agent,0.0,0.0
Anti Paper,Mirror Agent,0.0,0.0
Anti Paper,Anti Scissors,-29.0,29.0
Anti Paper,Anti Rock,0.0,0.0
Anti Paper,Rock Paper,-32.0,32.0
Anti Paper,Scissors Paper,26.0,-26.0
Anti Paper,Most Winning,-35.0,35.0
Anti Paper,Anti Cyclic,0.0,0.0
Anti Scissors,Rock Agent,52.0,-52.0
Anti Scissors,Paper Agent,-56.0,56.0
Anti Scissors,Scissors Agent,0.0,0.0
Anti Scissors,Random Agent,0.0,0.0
Anti Scissors,Copy Opponent,0.0,0.0
Anti Scissors,Counter Opponent,0.0,0.0
Anti Scissors,Cyclic Agent,0.0,0.0
Anti Scissors,Mirror Agent,0.0,0.0
Anti Scissors,Anti Paper,28.0,-28.0
Anti Scissors,Anti Rock,-39.0,39.0
Anti Scissors,Rock Paper,0.0,0.0
Anti Scissors,Scissors Paper,-27.0,27.0
Anti Scissors,Most Winning,-26.0,26.0
Anti Scissors,Anti Cyclic,-22.0,22.0
Anti Rock,Rock Agent,0.0,0.0
Anti Rock,Paper Agent,43.0,-43.0
Anti Rock,Scissors Agent,-55.0,55.0
Anti Rock,Random Agent,0.0,0.0
Anti Rock,Copy Opponent,0.0,0.0
Anti Rock,Counter Opponent,-25.0,25.0
Anti Rock,Cyclic Agent,0.0,0.0
Anti Rock,Mirror Agent,0.0,0.0
Anti Rock,Anti Paper,-21.0,21.0
Anti Rock,Anti Scissors,23.0,-23.0
Anti Rock,Rock Paper,31.0,-31.0
Anti Rock,Scissors Paper,0.0,0.0
Anti Rock,Most Winning,0.0,0.0
Anti Rock,Anti Cyclic,-34.0,34.0
Rock Paper,Rock Agent,49.0,-49.0
Rock Paper,Paper Agent,-50.0,50.0
Rock Paper,Scissors Agent,0.0,0.0
Rock Paper,Random Agent,0.0,0.0
Rock Paper,Copy Opponent,0.0,0.0
Rock Paper,Counter Opponent,48.0,-48.0
Rock Paper,Cyclic Agent,0.0,0.0
Rock Paper,Mirror Agent,0.0,0.0
Rock Paper,Anti Paper,23.0,-23.0
Rock Paper,Anti Scissors,0.0,0.0
Rock Paper,Anti Rock,-25.0,25.0
Rock Paper,Scissors Paper,-99.0,99.0
Rock Paper,Most Winning,49.0,-49.0
Rock Paper,Anti Cyclic,49.0,-49.0
Scissors Paper,Rock Agent,0.0,0.0
Scissors Paper,Paper Agent,49.0,-49.0
Scissors Paper,Scissors Agent,-50.0,50.0
Scissors Paper,Random Agent,0.0,0.0
Scissors Paper,Copy Opponent,0.0,0.0
Scissors Paper,Counter Opponent,49.0,-49.0
Scissors Paper,Cyclic Agent,0.0,0.0
Scissors Paper,Mirror Agent,0.0,0.0
Scissors Paper,Anti Paper,-31.0,31.0
Scissors Paper,Anti Scissors,0.0,0.0
Scissors Paper,Anti Rock,0.0,0.0
Scissors Paper,Rock Paper,99.0,-99.0
Scissors Paper,Most Winning,50.0,-50.0
Scissors Paper,Anti Cyclic,50.0,-50.0
Most Winning,Rock Agent,98.0,-98.0
Most Winning,Paper Agent,97.0,-97.0
Most Winning,Scissors Agent,99.0,-99.0
Most Winning,Random Agent,0.0,0.0
Most Winning,Copy Opponent,50.0,-50.0
Most Winning,Counter Opponent,0.0,0.0
Most Winning,Cyclic Agent,0.0,0.0
Most Winning,Mirror Agent,49.0,-49.0
Most Winning,Anti Paper,32.0,-32.0
Most Winning,Anti Scissors,25.0,-25.0
Most Winning,Anti Rock,22.0,-22.0
Most Winning,Rock Paper,-49.0,49.0
Most Winning,Scissors Paper,-50.0,50.0
Most Winning,Anti Cyclic,0.0,0.0
Anti Cyclic,Rock Agent,99.0,-99.0
Anti Cyclic,Paper Agent,99.0,-99.0
Anti Cyclic,Scissors Agent,97.0,-97.0
Anti Cyclic,Random Agent,0.0,0.0
Anti Cyclic,Copy Opponent,-99.0,99.0
Anti Cyclic,Counter Opponent,0.0,0.0
Anti Cyclic,Cyclic Agent,0.0,0.0
Anti Cyclic,Mirror Agent,-99.0,99.0
Anti Cyclic,Anti Paper,0.0,0.0
Anti Cyclic,Anti Scissors,24.0,-24.0
Anti Cyclic,Anti Rock,0.0,0.0
Anti Cyclic,Rock Paper,-49.0,49.0
Anti Cyclic,Scissors Paper,-50.0,50.0
Anti Cyclic,Most Winning,0.0,0.0
